unit_ranch_number,gmu,ranch_name,ranch_class,ranch_status,elk_occupied_acreage,gis_acre,county
15-44213,15,Laney Ranch 2,SCR,UW,20,19.550798099999998,Catron
51-44242,51,Andres Garcia,SCR,UW,26,25.434323290000002,Rio Arriba
10-20874,10,W TRIANGLE RANCH,Base,UW,1280,1278.38989273,Cibola
34-29280,34,BUG SCUFFLE SPORTSMAN'S ,Base,UW,288,256.93021331,Otero
5B-26919,5B,KEEP RANCH,SCR,UW,50,49.06044509,Rio Arriba
6C-20578,6C,EDDIE VIGIL RANCH,SCR,UW,153,152.56479231999998,Rio Arriba
6C-42741,6C,EL PORTERO,SCR,UW,154,157.746859,Rio Arriba
53-43505,53,Quintana,SCR,UW,54,54.22818187,Taos
53-44093,53,Andrew Rael,SCR,UW,51,50.72197084,Taos
53-21800,53,JRL,SCR,UW,119,112.8339283,Taos
53-21769,53,Sanchez Bros.,SCR,UW,24,23.74685343,Taos
53-21772,53,Gallegos,SCR,UW,110,78.00301433,Taos
53-21794,53,Cipriano Medina,SCR,UW,316,327.39124497,Taos
53-22972,53,Overland,SCR,UW,158,158.78908464,Taos
53-41327,53,Top of the World Farms,Base,UW,4337,4279.59317327,Taos
52-43387,52,Chino Lake Elk Trail,SCR,UW,10,10.00904802,Rio Arriba
52-42766,52,Yoder,SCR,UW,158,154.39921415,Rio Arriba
52-21740,52,Baudelio Garcia,SCR,UW,70,59.00567874,Rio Arriba
52-21758,52,Filemon Garcia,SCR,UW,52,51.07066827,Rio Arriba
52-23622,52,R. D. Perry,SCR,UW,95,95.18935542,Rio Arriba
52-26949,52,Thomas Holmes,SCR,UW,85,85.68749961,Rio Arriba
52-28216,52,Nelson,SCR,UW,48,46.94213182,Rio Arriba
52-28255,52,Blake & Kelly Motl,SCR,UW,25,23.95536517,Rio Arriba
52-44180,52,Los Pinos River Ranch,SCR,UW,70,72.33464576,Rio Arriba
52-29873,52,Mullins,SCR,UW,43,52.19615691,Rio Arriba
52-41069,52,Lemon #1,SCR,UW,106,107.2285419,Rio Arriba
52-41184,52,Lemon #2,SCR,UW,12,11.66337482,Rio Arriba
52-41490,52,Los Pinos River Trust,SCR,UW,30,29.892628520000002,Rio Arriba
52-41544,52,SISNEROS RANCH,SCR,UW,21,21.406857210000002,Rio Arriba
52-41793,52,Sisneros,SCR,UW,106,92.36191837000001,Rio Arriba
52-42334,52,Lemon #3,Base,UW,589,522.51649033,Rio Arriba
51-43497,51,Garcia & Son,SCR,UW,10,9.84400011,Rio Arriba
52-42804,52,Clayton Pearson,Base,UW,1350,1336.44080505,Rio Arriba
50-29090,50,Mayo,SCR,UW,152,149.86326661,Taos
50-29103,50,No Agua Station,SCR,UW,151,150.92439377999997,Rio Arriba
50-29422,50,George Smith,SCR,UW,294,293.26438519,Taos
50-29639,50,Randall,SCR,UW,160,159.47818663,Rio Arriba
51-21675,51,Tony Archuleta,SCR,UW,80,75.80358451,Rio Arriba
51-28657,51,4 S,SCR,UW,88,87.01562139,Rio Arriba
51-29565,51,Tesoross,Base,UW,270,242.42305989,Rio Arriba
52-21712,52,White Heaven,Base,UW,4884,4859.92279196,Rio Arriba
52-21715,52,Frank Smith,Base,UW,723,720.56035923,Rio Arriba
52-21716,52,George Smith,Base,UW,1118,1115.86566981,Rio Arriba
52-21722,52,Tres Piedras,Base,UW,433,408.99706738000003,Rio Arriba
52-26796,52,Triangle P,SCR,UW,22,22.248160220000003,Taos
52-42370,52,Rancho Rio Los Pinos,SCR,UW,22,22.730404319999998,Rio Arriba
52-21749,52,Howes/Marion,SCR,UW,153,153.13436289999999,Rio Arriba
52-21718,52,Vigil,Base,UW,377,363.41384856999997,Rio Arriba
52-21720,52,M. F. Sanchez,SCR,UW,81,77.85329688,Rio Arriba
52-21730,52,NJ Taylor,Base,UW,280,279.58054900999997,Rio Arriba
52-21741,52,Randy Sanchez,SCR,UW,77,77.05840930000001,Rio Arriba
52-21742,52,Double A,SCR,UW,50,39.35095176,Rio Arriba
52-21756,52,Brent Sowards,Base,UW,438,427.54870595,Rio Arriba
52-27915,52,Gilcrease,SCR,UW,12,13.168100590000002,Rio Arriba
52-28711,52,Sigmon,SCR,UW,80,79.96881202,Rio Arriba
52-40749,52,Galles,Base,UW,160,157.2817606,Rio Arriba
52-40804,52,GU3,SCR,UW,160,159.69750424,Rio Arriba
52-41972,52,C Gilcrease,SCR,UW,10,9.99990137,Rio Arriba
52-42032,52,Tio Grande,SCR,UW,7,6.74954398,Rio Arriba
52-43141,52,Olguin Place,SCR,UW,10,9.90391041,Rio Arriba
52-43100,52,JK Ponderosa LLC,Base,UW,160,159.42009266999997,Rio Arriba
48-21525,48,Mares,SCR,UW,127,136.21747615,Mora
48-21536,48,Carlos Duran,Base,UW,516,496.54587337,Mora
48-21537,48,Bonita Canyon,Base,UW,638,635.49686786,Mora
48-21546,48,Antonio Chavez,SCR,UW,186,178.50282380000002,Mora
48-21548,48,Elk Run,SCR,UW,12,12.23351477,Mora
48-22963,48,Ocate,Base,UW,179,180.39913785000002,Mora
48-22966,48,Estate of George Middleton,Base,UW,649,640.10697709,Mora
48-27286,48,El Campo,SCR,UW,139,111.56081217,Mora
48-28691,48,Davis/Germscheid,SCR,UW,38,38.38410902,Colfax
48-29795,48,Linda Blattman,Base,UW,537,534.4460909000001,Mora
48-42038,48,Vigil Ranch,SCR,UW,30,29.654601449999998,Mora
48-42756,48,Double Echo Ranch,SCR,UW,60,60.882221089999994,Mora
48-44105,48,Rubin Ranch,SCR,UW,70,69.58516861999999,Colfax
48-43404,48,Guara Ranch,Base,UW,387,371.86319761,Colfax
48-21519,48,Reuben Vigil,Base,UW,160,154.85981856,Colfax
48-22549,48,Vigil,Base,UW,291,294.80014492,Colfax
49-21490,49,Samuel Martinez,SCR,UW,148,141.76238569,Taos
49-29029,49,CDQ's,SCR,UW,30,29.56292662,Taos
49-29206,49,G,SCR,UW,12,14.043371,Taos
49-41125,49,Barela,SCR,UW,78,77.19523709,Taos
49-41819,49,Garcia Ranch,SCR,UW,16,16.876422260000002,Taos
49-42023,49,T-M Ranch,SCR,UW,8,6.40656928,Taos
49-43806,49,JJJ,SCR,UW,8,7.8974018500000005,Taos
49-43815,49,Tiendita's,SCR,UW,208,214.82677185,Taos
48-43826,48,Spears Land Co.,SCR,UW,64,65.89704705000001,Colfax
48-27079,48,Ramon Gonzales,SCR,UW,35,34.5578801,Colfax
53-21774,53,MIDNIGHT RANCH,SCR,UW,108,111.72775616999999,Taos
53-21798,53,S and M Ranch,SCR,UW,30,29.49469383,Taos
53-21819,53,Gabriel Herrera,SCR,UW,42,39.87032521,Taos
53-27699,53,Sid Johnson,SCR,UW,56,59.227831470000005,Taos
53-28366,53,Lawrence Ortega,SCR,UW,19,18.052297069999998,Taos
53-40446,53,Martinez,SCR,UW,68,62.94569696,Taos
53-40836,53,Rael,SCR,UW,17,17.47257451,Taos
53-41317,53,El Bosque,SCR,UW,16,16.698074990000002,Taos
53-41318,53,La Vega,SCR,UW,43,42.43257868,Taos
53-41527,53,LEON'S RANCH,SCR,UW,18,20.96705741,Taos
53-41803,53,G & R Robinson,SCR,UW,21,20.578271479999998,Taos
53-41812,53,Archuleta Ranch,SCR,UW,20,18.7017134,Taos
53-41319,53,La Joya,SCR,UW,63,62.385870970000006,Taos
50-21596,50,Elkhorn,Base,UW,1280,1283.6139312300002,Taos
50-21612,50,Wind Mountain,Base,UW,1368,1304.1968190799998,Taos
50-27471,50,Section 35,Base,UW,648,646.20233168,Taos
50-28719,50,Mestas,Base,UW,3520,3542.32611919,Taos
50-29587,50,Jackson,SCR,UW,115,121.56462465999999,Taos
51-21635,51,Gurule,Base,UW,518,511.92635777000004,Taos
50-44160,50,Just Gonna Send It,SCR,UW,240,241.00707129,Taos
50-44125,50,Regenerative Ranch LLC,Base,UW,1744,1752.99516766,Taos
53-29329,53,Julie Gonzales,SCR,UW,47,46.22650686,Taos
53-41802,53,El Solito Post Ranch,SCR,UW,354,313.18237433,Taos
53-41825,53,F Ortega Ranch,SCR,UW,80,103.34084468,Taos
53-41826,53,Rudy Ortega,SCR,UW,50,53.50533254,Taos
53-44114,53,Ortiz Ranch,SCR,UW,19,19.24189557,Taos
53-43122,53,Archuleta,SCR,UW,117,129.40390772,Taos
51-28885,51,Mayo,SCR,UW,82,63.0652511,Rio Arriba
51-21714,51,Elive Valdez,Base,UW,343,230.42252304000002,Rio Arriba
51-21743,51,Edwin Gurule,SCR,UW,54,60.04135089,Rio Arriba
51-22582,51,Phil Reynolds,Base,UW,357,336.8854514,Rio Arriba
51-22583,51,Mrs. Sammie Gurule,SCR,UW,54,49.19967956,Rio Arriba
51-22584,51,Samuel Martinez,Base,UW,251,252.88463939000002,Rio Arriba
51-22588,51,Diego Jaramillo,SCR,UW,157,162.55801528,Rio Arriba
51-27138,51,La Cienga,SCR,UW,100,104.13193616,Rio Arriba
51-43809,51,Canon Plaza,SCR,UW,4,8.481387199999999,Rio Arriba
51-28939,51,Carl Smith,SCR,UW,156,156.79669124,Rio Arriba
51-43842,51,Lucas,SCR,UW,4,4.3065497299999995,Rio Arriba
51-29673,51,Anastacio Valdez,Base,UW,415,435.18094919000004,Rio Arriba
51-40455,51,Dad and Son Dream,Base,UW,189,198.60738324000002,Rio Arriba
52-22587,52,Edwin Gurule,SCR,UW,153,138.46472186,Rio Arriba
52-44214,52,Little Tusas,SCR,UW,115,109.38988307,Rio Arriba
51-29603,51,Tusas,SCR,UW,88,97.54782395,Rio Arriba
51-43444,51,Rancho de la Canada,SCR,UW,15,25.03042443,Rio Arriba
51-43449,51,Rancho Angostura,SCR,UW,29,22.64365315,Rio Arriba
51-21680,51,Luis Pena,SCR,UW,34,33.41160608,Rio Arriba
51-43817,51,Northfork,SCR,UW,9,8.94193194,Rio Arriba
51-43849,51,Rancho de las Playas,SCR,UW,43,42.42423484,Rio Arriba
51-43847,51,Rancho Valdez,SCR,UW,29,29.112544800000002,Rio Arriba
51-29596,51,JL Griego Ancones,SCR,UW,33,32.290718590000004,Rio Arriba
51-43792,51,Michael T. Pena #2,SCR,UW,39,38.71935964,Rio Arriba
51-44029,51,Rancho Cuchilla,SCR,UW,35,34.04663437,Rio Arriba
51-41128,51,W. Valdez,SCR,UW,13,11.96760899,Rio Arriba
51-43848,51,Rancho Penascal,SCR,UW,5,3.95410671,Rio Arriba
51-44163,51,Heraldo Pena Ranch,SCR,UW,13,12.65025615,Rio Arriba
51-43523,51,Reynoso,SCR,UW,37,35.892239690000004,Rio Arriba
51-43427,51,LUIS PENA,SCR,UW,18,18.26589713,Rio Arriba
45-27194,45,Velasquez,SCR,UW,21,20.228922309999998,Taos
45-27366,45,Lopez,SCR,UW,17,17.748651,Taos
45-29783,45,Gates,SCR,UW,85,84.7794395,Taos
49-28700,49,Michael Romero,SCR,UW,11,11.150557469999999,Taos
45-29261,45,Bendecio,SCR,UW,86,80.21831741,Taos
45-41325,45,Lopez,SCR,UW,10,9.7603375,Taos
45-43709,45,A Lopez,SCR,UW,27,23.18796084,Taos
51-43014,51,M Chacon Cattle Co LLC,SCR,UW,15,18.70680072,Rio Arriba
45-21398,45,Monte de Christo,SCR,UW,19,18.758140949999998,San Miguel
45-29287,45,Tres Ritos,SCR,UW,21,20.410356189999998,Taos
45-29799,45,El Pinoreal,SCR,UW,66,61.35755196,San Miguel
45-40545,45,RC Acres,SCR,UW,7,6.95404845,Rio Arriba
45-41063,45,La Pasada,SCR,UW,24,23.93160026,San Miguel
45-41173,45,Veanna Maestas Rodarte,SCR,UW,17,16.680673,San Miguel
45-41437,45,La Sierra Cattle Co.,SCR,UW,94,89.97071641999999,Taos
45-41487,45,Mascarenas-Trujillo,SCR,UW,72,52.214391140000004,Taos
49-27989,49,Mondragon,SCR,UW,45,40.61181315,Mora
45-29319,45,Martinez,SCR,UW,20,17.77193003,Taos
45-41480,45,A Hart Allex,SCR,UW,82,81.85461296000001,Taos
45-43782,45,JAVEL Ranch,SCR,UW,45,42.61003429,Taos
45-44068,45,Strong Ranch,SCR,UW,11,10.78064024,Taos
51-27430,51,Gramoll,SCR,UW,106,100.49111211,Rio Arriba
51-21645,51,P and L,SCR,UW,176,172.14262341999998,Rio Arriba
51-22573,51,Jose F. Ortiz,SCR,UW,160,141.97747088999998,Rio Arriba
51-26682,51,Antonio Griego,Base,UW,282,343.59206788,Rio Arriba
51-27183,51,Rancho de Trujillos,SCR,UW,63,59.46290885,Rio Arriba
51-27429,51,Gilberto Ortiz,SCR,UW,36,33.44817448,Rio Arriba
51-27644,51,Adriano Valdez,SCR,UW,20,21.64844913,Rio Arriba
51-29628,51,Double G,SCR,UW,7,6.3381634,Rio Arriba
51-40560,51,Fresquez,SCR,UW,8,5.98552859,Rio Arriba
51-44120,51,Kenneth Baca,SCR,UW,70,70.0028552,Rio Arriba
51-43004,51,M Chacon Cattle Co LLC,SCR,UW,37,32.460375969999994,Rio Arriba
51-29453,51,Bar Circle S,SCR,UW,122,117.1640709,Rio Arriba
2-20027,2,Ahlm/Schriber,SCR,UW,55,54.69866582,Rio Arriba
2-20005,2,Bixler,SCR,UW,144,136.05923568,Rio Arriba
2-26693,2,Andrews ,SCR,UW,159,159.47163537,Rio Arriba
2-26820,2,DECKER RANCH,SCR,UW,400,396.64954438,Rio Arriba
2-27442,2,Manual Ferran 1,SCR,UW,523,522.58045817,Rio Arriba
2-28327,2,Teupell,SCR,UW,97,96.87485724999999,Rio Arriba
2-29636,2,ELK VALLEY RANCH,SCR,UW,160,157.38086676999998,Rio Arriba
2-40856,2,Jordan,Base,UW,794,773.32408016,Rio Arriba
2-41090,2,GRIMES ABEYTA GARCIA,SCR,UW,223,223.15856488,Rio Arriba
2-20008,2,Candelaria Ranch LLC,Base,UW,1492,1479.7289001200002,Rio Arriba
2-28125,2,Bixler Ranch Estate,SCR,UW,8,7.96279673,Rio Arriba
2-43483,2,Morningstar 1,SCR,UW,125,130.44713026,Rio Arriba
2-43538,2,Morningstar 2,SCR,UW,327,320.86496638999995,Rio Arriba
51-21639,51,Gilly Ortiz,Base,UW,344,355.63257353,Rio Arriba
51-21661,51,Placico M. Borrego,SCR,UW,80,81.44331555,Rio Arriba
51-21671,51,Cova,SCR,UW,157,157.95847937000002,Rio Arriba
51-21704,51,Benderland,SCR,UW,81,79.63863031999999,Rio Arriba
51-22562,51,David Archuleta,Base,UW,1104,1097.8553650899999,Rio Arriba
51-22563,51,Delfin Quintana,Base,UW,335,318.24607151,Rio Arriba
51-28005,51,Elk Springs,SCR,UW,116,119.16701882,Rio Arriba
51-29735,51,Lloyd Reynolds,SCR,UW,43,42.21831026,Rio Arriba
51-41975,51,Urban Martinez,SCR,UW,79,78.96215342,Rio Arriba
52-21708,52,Griego,SCR,UW,150,138.52300703,Rio Arriba
52-21711,52,Lloyd Reynolds,Base,UW,207,207.79888309,Rio Arriba
52-41646,52,Las Tusas Ranch,SCR,UW,82,79.98128071000001,Rio Arriba
51-22567,51,Juan Montano,Base,UW,318,294.58872436,Rio Arriba
51-21709,51,Arturo Valdez,SCR,UW,119,121.77139652999999,Rio Arriba
51-21687,51,J. and G. Martinez,SCR,UW,110,108.91860037,Rio Arriba
51-44023,51,Ranchito Dominguez,SCR,UW,35,40.961219369999995,Rio Arriba
51-41100,51,JLR Baca,SCR,UW,13,13.195512169999999,Rio Arriba
51-41571,51,Garcia,SCR,UW,26,26.65180145,Rio Arriba
51-42017,51,Rivera Ranch,SCR,UW,58,58.544620800000004,Rio Arriba
51-42372,51,J. Mtz,SCR,UW,10,10.028119460000001,Rio Arriba
51-42627,51,AE GARCIA RANCH,SCR,UW,38,39.108821680000005,Rio Arriba
51-44176,51,Cottonwood Creek,SCR,UW,8,10.868370259999999,Rio Arriba
51-43005,51,Patrick L. Valdez,SCR,UW,12,12.17967765,Rio Arriba
51-43006,51,Joaquin Valdez,SCR,UW,16,19.471389549999998,Rio Arriba
51-42603,51,MONTANO RANCH,SCR,UW,29,27.26971385,Rio Arriba
51-43521,51,Sylvia Martinez,SCR,UW,7,7.35594118,Rio Arriba
51-42657,51,NAPOLEAN GARCIA RANCH,SCR,UW,26,26.42986912,Rio Arriba
51-27537,51,Camote,SCR,UW,86,82.80317822,Rio Arriba
51-20443,51,Bar A Bar,Base,UW,1503,1357.1491965100001,Rio Arriba
51-43423,51,Wapiti,SCR,UW,143,139.79922597,Rio Arriba
51-20471,51,David Martinez Sr.,SCR,UW,224,229.43044992999998,Rio Arriba
51-21666,51,Joe Modesto Madrid,Base,UW,256,240.92956474,Rio Arriba
51-21691,51,Jose Cordova,SCR,UW,204,185.37771587,Rio Arriba
51-21700,51,David Martinez Sr.,Base,UW,231,231.00314641999998,Rio Arriba
51-21705,51,LUCIA MONTOYA,Base,UW,360,333.23785727,Rio Arriba
51-22441,51,Flying A,Base,UW,509,501.25277821000003,Rio Arriba
51-22445,51,Leroy & Donna Martinez,Base,UW,231,231.78603766,Rio Arriba
51-22566,51,Filberto Ulibarri,Base,UW,640,638.22296953,Rio Arriba
51-28969,51,Rancho Valdez,SCR,UW,20,20.25228409,Rio Arriba
51-29493,51,Lazy T,SCR,UW,10,9.10479355,Rio Arriba
51-29203,51,Tobias Sanchez,SCR,UW,186,176.54779012,Rio Arriba
51-21641,51,Augustine Garcia,SCR,UW,166,154.06298094000002,Rio Arriba
51-21650,51,Dennis Garcia,SCR,UW,150,243.46786885,Rio Arriba
51-27975,51,Rancho del Oso (Martinez),SCR,UW,200,176.37793639,Rio Arriba
51-28982,51,Rancho del Oso (Garcia),Base,UW,698,679.72848699,Rio Arriba
51-41408,51,Rancho De Vallecitos,Base,UW,800,799.12471218,Rio Arriba
51-42332,51,La Jarita,SCR,UW,45,45.03624082,Rio Arriba
51-42335,51,Ranchito de Leyba Brothers LLC,SCR,UW,80,80.2757166,Rio Arriba
6C-20652,6C,Benjamin Jaramillo,SCR,UW,23,25.76718162,Rio Arriba
6C-20744,6C,Rancho Alegre,SCR,UW,45,43.01200591,Rio Arriba
6C-42679,6C,CANONES CREEK RANCH,SCR,UW,4,4.1079163,Rio Arriba
6C-42824,6C,Lovato Ojito,SCR,UW,11,10.80350586,Rio Arriba
6C-20639,6C,ABIQUIU GRANT,Base,UW,15349,15248.310169150001,Rio Arriba
6C-42835,6C,SALAZAR RANCH,SCR,UW,60,63.51816727,Rio Arriba
6C-43403,6C,Silvestre,SCR,UW,40,41.274033270000004,Rio Arriba
51-20447,51,Mildred Hibner Rev. Trust,Base,UW,641,640.83183007,Rio Arriba
51-20449,51,Esperanza Grazing Association,Base,UW,480,477.92664142,Rio Arriba
51-20450,51,Northwest Partnership,Base,UW,318,320.99681595,Rio Arriba
51-20452,51,Rosendo Serrano,Base,UW,258,249.22857333,Rio Arriba
51-20453,51,Rancho la Mesa,Base,UW,480,479.15509605999995,Rio Arriba
51-20458,51,Napoleon Ulibarri,Base,UW,267,259.56335627000004,Rio Arriba
51-20460,51,E.J. TRUJILLO,Base,UW,712,620.19468944,Rio Arriba
51-20473,51,Robert Ulibarri,SCR,UW,98,98.90956231999999,Rio Arriba
51-20478,51,Adolfo P. Maes,Base,UW,374,367.92390929,Rio Arriba
51-20500,51,Enrique M. Miranda,Base,UW,636,640.6939267,Rio Arriba
51-20511,51,Tainter,SCR,UW,78,77.78334803,Rio Arriba
51-20462,51,SISNEROS,Base,UW,677,677.7437588299999,Rio Arriba
51-20448,51,Barns,Base,UW,640,639.4139199900001,Rio Arriba
51-20461,51,Saye Homestead LLC,Base,UW,1280,1278.67130527,Rio Arriba
51-20477,51,Hinds,Base,UW,320,319.83160698999995,Rio Arriba
51-21655,51,Turquoise 10,Base,UW,640,643.54753494,Rio Arriba
5B-20465,5B,ROGER CORRALES,SCR,UW,85,74.55757538,Rio Arriba
5B-20469,5B,SERGIO MORFIN,Base,UW,1347,1368.16475186,Rio Arriba
5B-20513,5B,Berlarmino Martinez,SCR,UW,45,42.36560108,Rio Arriba
5B-41415,5B,Whisper Ridgr Ranch,SCR,UW,34,35.14062834,Rio Arriba
6A-20664,6A,VIVIAN SUAZO RANCH,SCR,UW,71,72.16110809,Rio Arriba
6A-27736,6A,Reducinda Maestas,SCR,UW,27,30.34066256,Rio Arriba
5B-42440,5B,Lobato,SCR,UW,15,15.05181174,Rio Arriba
6C-20727,6C,LS Ranch,SCR,UW,48,49.00102432,Rio Arriba
6C-44077,6C,Pina 2,SCR,UW,25,24.360548520000002,Rio Arriba
6C-44133,6C,R&V Rag Horn,SCR,UW,55,54.61907427,Rio Arriba
6C-20527,6C,RANCHO ALAZAN,SCR,UW,91,68.44350253,Rio Arriba
6C-20644,6C,Adela Montoya,SCR,UW,160,157.8717119,Rio Arriba
6C-20777,6C,RANCHO DE LAS SILLAS,SCR,UW,117,115.45747389,Rio Arriba
6C-22466,6C,SERGIO MORFIN,SCR,UW,237,235.24537493999998,Rio Arriba
6C-26488,6C,Jacobo Salazar,Base,UW,557,395.4527652,Rio Arriba
6C-22449,6C,La Grulla,Base,UW,2189,1780.4733820400002,Rio Arriba
5B-43408,5B,Homestead Ranch,SCR,UW,69,43.05476056,Rio Arriba
5B-43524,5B,Rincones,SCR,UW,217,206.8389039,Rio Arriba
5B-43392,5B,Danny J Branch Family Trust,SCR,UW,12,12.363709889999999,Rio Arriba
5B-43840,5B,TC Johnson Enterprises LLC,Base,UW,460,467.45900657,Rio Arriba
5B-20343,5B,NOGALES CANYON,SCR,UW,152,142.10853763999998,Rio Arriba
5B-29431,5B,NOGALES CANYON #2,SCR,UW,57,55.66644848,Rio Arriba
5B-40426,5B,Leonard and Francine Jacquez,SCR,UW,58,58.86281053,Rio Arriba
5B-40591,5B,Suazo Ranch -B,SCR,UW,51,58.06268792,Rio Arriba
5B-41896,5B,Ortiz Ranch,SCR,UW,30,24.17401721,Rio Arriba
6A-22947,6A,Clement Suazo,SCR,UW,36,32.62452078,Rio Arriba
5B-20441,5B,Pablo Casados,SCR,UW,246,242.36519376,Rio Arriba
6A-22472,6A,Lonnie Jacquez,Base,UW,691,690.46462635,Rio Arriba
6A-43466,6A,Mann-Rocco,SCR,UW,39,34.65523521,Sandoval
6C-43763,6C,JAB,SCR,UW,16,16.600151,Rio Arriba
6A-29239,6A,Penas ,SCR,UW,8,7.9411234,Rio Arriba
6A-40487,6A,Blanton North,SCR,UW,9,8.48406091,Sandoval
6A-40503,6A,Herrera,SCR,UW,11,10.90861656,Rio Arriba
6A-40891,6A,Lucero & Son,SCR,UW,40,37.882379650000004,Sandoval
6C-20724,6C,Merhege,SCR,UW,19,18.43143537,Rio Arriba
6C-22450,6C,Jarosa,SCR,UW,55,32.905969670000005,Rio Arriba
6C-42727,6C,Medio Dia Canyon,SCR,UW,105,98.64992182,Sandoval
